scene_index,ads_name,ads_tag,boot_string,estimated_frames,estimated_ticks,steady_state_cycle_frames,max_active_threads,status
0,ACTIVITY.ADS,1,window nosound story direct 0 seed 1,1,1050,123,2,steady_state_cycle
1,ACTIVITY.ADS,12,window nosound story direct 1 seed 1,147,1360,,2,ok
2,ACTIVITY.ADS,11,window nosound story direct 2 seed 1,283,1480,,6,ok
3,ACTIVITY.ADS,10,window nosound story direct 3 seed 1,193,1200,,3,ok
4,ACTIVITY.ADS,4,window nosound story direct 4 seed 1,111,920,,1,ok
5,ACTIVITY.ADS,5,window nosound story direct 5 seed 1,198,1560,,2,ok
6,ACTIVITY.ADS,6,window nosound story direct 6 seed 1,14,487,29,2,steady_state_cycle
7,ACTIVITY.ADS,7,window nosound story direct 7 seed 1,18,727,38,2,steady_state_cycle
8,ACTIVITY.ADS,8,window nosound story direct 8 seed 1,90,1280,,3,ok
9,ACTIVITY.ADS,9,window nosound story direct 9 seed 1,267,1920,,2,ok
10,BUILDING.ADS,1,window nosound story direct 10 seed 1,133,800,,2,ok
11,BUILDING.ADS,4,window nosound story direct 11 seed 1,474,2535,,3,ok
12,BUILDING.ADS,3,window nosound story direct 12 seed 1,107,1280,,3,ok
13,BUILDING.ADS,2,window nosound story direct 13 seed 1,609,1160,,6,ok
14,BUILDING.ADS,5,window nosound story direct 14 seed 1,488,3080,,3,ok
15,BUILDING.ADS,7,window nosound story direct 15 seed 1,556,3360,,3,ok
16,BUILDING.ADS,6,window nosound story direct 16 seed 1,351,2236,,3,ok
17,FISHING.ADS,1,window nosound story direct 17 seed 1,113,1080,,2,ok
18,FISHING.ADS,2,window nosound story direct 18 seed 1,42,400,4,2,steady_state_cycle
19,FISHING.ADS,3,window nosound story direct 19 seed 1,305,1760,,2,ok
20,FISHING.ADS,4,window nosound story direct 20 seed 1,75,760,,2,ok
21,FISHING.ADS,5,window nosound story direct 21 seed 1,76,800,,1,ok
22,FISHING.ADS,6,window nosound story direct 22 seed 1,83,720,,2,ok
23,FISHING.ADS,7,window nosound story direct 23 seed 1,90,800,,2,ok
24,FISHING.ADS,8,window nosound story direct 24 seed 1,80,800,,2,ok
25,JOHNNY.ADS,1,window nosound story direct 25 seed 1,112,1917,,3,ok
26,JOHNNY.ADS,2,window nosound story direct 26 seed 1,169,1520,,3,ok
27,JOHNNY.ADS,3,window nosound story direct 27 seed 1,129,1040,,3,ok
28,JOHNNY.ADS,4,window nosound story direct 28 seed 1,112,1080,,2,ok
29,JOHNNY.ADS,5,window nosound story direct 29 seed 1,102,720,,2,ok
30,JOHNNY.ADS,6,window nosound story direct 30 seed 1,82,2631,,2,ok
31,MARY.ADS,1,window nosound story direct 31 seed 1,114,1360,38,1,steady_state_cycle
32,MARY.ADS,3,window nosound story direct 32 seed 1,289,2040,,5,ok
33,MARY.ADS,2,window nosound story direct 33 seed 1,268,1960,,2,ok
34,MARY.ADS,4,window nosound story direct 34 seed 1,169,1760,,2,ok
35,MARY.ADS,5,window nosound story direct 35 seed 1,402,1360,,2,ok
36,MISCGAG.ADS,1,window nosound story direct 36 seed 1,61,720,,1,ok
37,MISCGAG.ADS,2,window nosound story direct 37 seed 1,108,1200,,1,ok
38,STAND.ADS,1,window nosound story direct 38 seed 1,2,200,9,2,steady_state_cycle
39,STAND.ADS,2,window nosound story direct 39 seed 1,1,130,8,2,steady_state_cycle
40,STAND.ADS,3,window nosound story direct 40 seed 1,1,170,12,2,steady_state_cycle
41,STAND.ADS,4,window nosound story direct 41 seed 1,1,130,8,2,steady_state_cycle
42,STAND.ADS,5,window nosound story direct 42 seed 1,1,130,7,2,steady_state_cycle
43,STAND.ADS,6,window nosound story direct 43 seed 1,1,130,8,2,steady_state_cycle
44,STAND.ADS,7,window nosound story direct 44 seed 1,1,170,10,2,steady_state_cycle
45,STAND.ADS,8,window nosound story direct 45 seed 1,1,130,9,2,steady_state_cycle
46,STAND.ADS,9,window nosound story direct 46 seed 1,1,170,10,2,steady_state_cycle
47,STAND.ADS,10,window nosound story direct 47 seed 1,1,170,10,2,steady_state_cycle
48,STAND.ADS,11,window nosound story direct 48 seed 1,1,170,10,2,steady_state_cycle
49,STAND.ADS,12,window nosound story direct 49 seed 1,1,130,7,2,steady_state_cycle
50,STAND.ADS,15,window nosound story direct 50 seed 1,59,720,,2,ok
51,STAND.ADS,16,window nosound story direct 51 seed 1,33,400,,2,ok
52,SUZY.ADS,1,window nosound story direct 52 seed 1,177,5087,,2,ok
53,SUZY.ADS,2,window nosound story direct 53 seed 1,133,2497,,2,ok
54,VISITOR.ADS,1,window nosound story direct 54 seed 1,174,1280,,2,ok
55,VISITOR.ADS,3,window nosound story direct 55 seed 1,156,920,,2,ok
56,VISITOR.ADS,4,window nosound story direct 56 seed 1,53,400,,3,ok
57,VISITOR.ADS,6,window nosound story direct 57 seed 1,154,1840,,3,ok
58,VISITOR.ADS,7,window nosound story direct 58 seed 1,119,1480,,3,ok
59,VISITOR.ADS,5,window nosound story direct 59 seed 1,236,1007,12,2,steady_state_cycle
60,WALKSTUF.ADS,1,window nosound story direct 60 seed 1,279,1360,,3,ok
61,WALKSTUF.ADS,2,window nosound story direct 61 seed 1,58,560,,2,ok
62,WALKSTUF.ADS,3,window nosound story direct 62 seed 1,292,2360,,1,ok
